album;song;song_position;song_duration;song_gaim;song_rank
The Virtual Road – U2 Go Home: Live From Slane Castle Ireland EP (Remastered 2021);Beautiful Day;1;263;-9.4;360567
The Virtual Road – U2 Go Home: Live From Slane Castle Ireland EP (Remastered 2021);Stuck In A Moment You Can't Get Out Of;2;279;-10.1;328845
The Virtual Road – U2 Go Home: Live From Slane Castle Ireland EP (Remastered 2021);All I Want Is You;3;268;-10.4;371002
The Virtual Road – U2 Go Home: Live From Slane Castle Ireland EP (Remastered 2021);Where The Streets Have No Name;4;361;-9.0;444545
Summer Of Love;Summer Of Love;1;204;-11.3;173728
Summer Of Love;Summer Of Love;2;215;-9.9;173660
Summer Of Love;Summer Of Love;3;315;-9.4;162442
Summer Of Love;Summer Of Love;4;520;-11.9;117210
Summer Of Love;Summer Of Love;5;261;-12.7;109199
Summer Of Love;Summer Of Love;6;205;-9.3;158980
Summer Of Love;Summer Of Love;7;396;-7.7;101400
Summer Of Love;Summer Of Love;8;215;-8.2;141593
Summer Of Love;Summer Of Love;9;355;-7.6;103393
Songs Of Experience;Love Is All We Have Left;1;161;-14.7;300436
Songs Of Experience;Lights Of Home;2;256;-10.4;320180
Songs Of Experience;You’re The Best Thing About Me;3;225;-10.5;662903
Songs Of Experience;Get Out Of Your Own Way;4;238;-11.4;527409
Songs Of Experience;American Soul;5;261;-10.6;288807
Songs Of Experience;Summer Of Love;6;204;-11.3;452441
Songs Of Experience;Red Flag Day;7;199;-10.8;309682
Songs Of Experience;The Showman (Little More Better);8;203;-10.9;296261
Songs Of Experience;The Little Things That Give You Away;9;295;-13.3;310873
Songs Of Experience;Landlady;10;241;-13.0;266538
Songs Of Experience;The Blackout;11;285;-11.0;460142
Songs Of Experience;Love Is Bigger Than Anything In Its Way;12;240;-10.7;298139
Songs Of Experience;13 (There is A Light);13;259;-14.4;255825
Songs Of Experience (Deluxe Edition);Love Is All We Have Left;1;161;-14.7;347787
Songs Of Experience (Deluxe Edition);Lights Of Home;2;256;-10.4;324241
Songs Of Experience (Deluxe Edition);You’re The Best Thing About Me;3;225;-10.5;401795
Songs Of Experience (Deluxe Edition);Get Out Of Your Own Way;4;238;-11.4;296533
Songs Of Experience (Deluxe Edition);American Soul;5;261;-10.6;312834
Songs Of Experience (Deluxe Edition);Summer Of Love;6;204;-11.3;391403
Songs Of Experience (Deluxe Edition);Red Flag Day;7;199;-10.8;310738
Songs Of Experience (Deluxe Edition);The Showman (Little More Better);8;203;-10.9;273601
Songs Of Experience (Deluxe Edition);The Little Things That Give You Away;9;295;-13.3;336474
Songs Of Experience (Deluxe Edition);Landlady;10;241;-13.0;300487
Songs Of Experience (Deluxe Edition);The Blackout;11;285;-11.0;292909
Songs Of Experience (Deluxe Edition);Love Is Bigger Than Anything In Its Way;12;240;-10.7;315948
Songs Of Experience (Deluxe Edition);13 (There is A Light);13;259;-14.4;327358
Songs Of Experience (Deluxe Edition);Ordinary Love;14;227;-12.0;587841
Songs Of Experience (Deluxe Edition);Book Of Your Heart;15;235;-11.1;299377
Songs Of Experience (Deluxe Edition);Lights Of Home;16;273;-10.4;284382
Songs Of Experience (Deluxe Edition);You’re The Best Thing About Me;17;256;-10.8;498175
Songs Of Innocence;The Miracle (Of Joey Ramone);1;255;-10.8;470970
Songs Of Innocence;Every Breaking Wave;2;252;-11.9;592502
Songs Of Innocence;California (There Is No End To Love);3;239;-10.4;419738
Songs Of Innocence;Song For Someone;4;226;-13.5;496388
Songs Of Innocence;Iris (Hold Me Close);5;319;-12.4;410955
Songs Of Innocence;Volcano;6;194;-10.9;402942
Songs Of Innocence;Raised By Wolves;7;245;-12.1;380622
Songs Of Innocence;Cedarwood Road;8;265;-8.2;384147
Songs Of Innocence;Sleep Like A Baby Tonight;9;301;-13.5;406069
Songs Of Innocence;This Is Where You Can Reach Me Now;10;305;-12.7;354635
Songs Of Innocence;The Troubles;11;285;-11.0;393821
Songs Of Innocence (Deluxe);The Miracle (Of Joey Ramone);1;255;-10.9;404534
Songs Of Innocence (Deluxe);Every Breaking Wave;2;252;-11.9;492796
Songs Of Innocence (Deluxe);California (There Is No End To Love);3;239;-10.4;347987
Songs Of Innocence (Deluxe);Song For Someone;4;226;-13.5;428157
Songs Of Innocence (Deluxe);Iris (Hold Me Close);5;319;-12.4;348120
Songs Of Innocence (Deluxe);Volcano;6;194;-10.9;282703
Songs Of Innocence (Deluxe);Raised By Wolves;7;245;-12.1;301062
Songs Of Innocence (Deluxe);Cedarwood Road;8;265;-8.2;260646
Songs Of Innocence (Deluxe);Sleep Like A Baby Tonight;9;301;-13.5;341868
Songs Of Innocence (Deluxe);This Is Where You Can Reach Me Now;10;305;-12.7;254659
Songs Of Innocence (Deluxe);The Troubles;11;285;-11.0;310705
Songs Of Innocence (Deluxe);Lucifer's Hands;12;235;-11.6;192910
Songs Of Innocence (Deluxe);The Crystal Ballroom;13;280;-11.3;267033
Songs Of Innocence (Deluxe);Every Breaking Wave;14;268;-15.8;425103
Songs Of Innocence (Deluxe);California (There Is No End To Love);15;199;-14.1;256667
Songs Of Innocence (Deluxe);Raised By Wolves;16;237;-13.7;193910
Songs Of Innocence (Deluxe);Cedarwood Road;17;198;-14.6;194198
Songs Of Innocence (Deluxe);Song For Someone;18;216;-16.1;241297
Songs Of Innocence (Deluxe);The Miracle (Of Joey Ramone);19;247;-15.5;255740
Songs Of Innocence (Deluxe);The Troubles;20;272;-11.2;196642
Songs Of Innocence (Deluxe);Sleep Like A Baby Tonight;21;628;-12.5;215094
Ill Go Crazy If I Dont Go Crazy Tonight;I'll Go Crazy If I Don't Go Crazy Tonight;1;253;-8.8;190682
Ill Go Crazy If I Dont Go Crazy Tonight;I'll Go Crazy If I Don't Go Crazy Tonight;2;430;-9.7;109195
Ill Go Crazy If I Dont Go Crazy Tonight;I'll Go Crazy If I Don't Go Crazy Tonight;3;448;-10.1;105650
Ill Go Crazy If I Dont Go Crazy Tonight;I'll Go Crazy If I Don't Go Crazy Tonight;4;277;-9.6;88140
Ill Go Crazy If I Dont Go Crazy Tonight;I'll Go Crazy If I Don't Go Crazy Tonight;5;450;-8.4;18559
Ill Go Crazy If I Dont Go Crazy Tonight;I'll Go Crazy If I Don't Go Crazy Tonight;6;449;-9.0;79459
Ill Go Crazy If I Dont Go Crazy Tonight;I'll Go Crazy If I Don't Go Crazy Tonight;7;265;-8.0;101289
Magnificent;Magnificent;1;260;-8.2;292584
Magnificent;Magnificent;2;440;-10.0;199521
Magnificent;Get On Your Boots;3;206;-9.6;222734
Magnificent;Magnificent;4;594;-10.9;112441
Magnificent;Magnificent;5;443;-10.3;206870
Magnificent;Magnificent;6;374;-8.8;143863
Magnificent;Magnificent;7;453;-9.7;66260
Magnificent;Breathe;8;285;-7.5;138631
Magnificent;Vertigo;9;227;-6.6;161918
Magnificent;Magnificent;10;241;-8.3;109316
No Line On The Horizon;No Line On The Horizon;1;252;-8.6;353301
No Line On The Horizon;Magnificent;2;324;-8.5;601078
No Line On The Horizon;Moment Of Surrender;3;444;-9.5;422758
No Line On The Horizon;Unknown Caller;4;362;-8.6;305649
No Line On The Horizon;I'll Go Crazy If I Don't Go Crazy Tonight;5;253;-8.1;445169
No Line On The Horizon;Get On Your Boots;6;205;-8.3;466751
No Line On The Horizon;Stand Up Comedy;7;229;-7.0;279051
No Line On The Horizon;FEZ / Being Born;8;316;-8.9;252591
No Line On The Horizon;White As Snow;9;281;-12.2;293118
No Line On The Horizon;Breathe;10;300;-7.3;278408
No Line On The Horizon;Cedars Of Lebanon;11;253;-11.8;284390
Live From Paris;I Will Follow;1;238;-10.9;388596
Live From Paris;Trip Through Your Wires;2;213;-10.6;340574
Live From Paris;I Still Haven't Found What I'm Looking For;3;326;-11.3;449664
Live From Paris;MLK;4;87;-13.9;321120
Live From Paris;Unforgettable Fire;5;280;-11.2;405511
Live From Paris;Sunday Bloody Sunday;6;333;-11.2;443709
Live From Paris;Exit;7;252;-13.5;374181
Live From Paris;In God's Country;8;171;-9.7;336308
Live From Paris;The Electric Co.;9;272;-11.8;309523
Live From Paris;Bad;10;424;-11.9;407064
Live From Paris;October;11;124;-16.3;348840
Live From Paris;New Year's Day;12;284;-10.6;407467
Live From Paris;Pride (In The Name Of Love);13;295;-10.9;403596
